enz	rxns	protein_stoich	MW (g/mmol)	status
YER024W	CRNOAT_c	YER024W:1	104.21969	automatically added
YML042W	CRNOAT_x,CRNOAT_m	YML042W:1	77.89711	automatically added
YBR132C	CRNt_e,SPMDtpa_e	YBR132C:1	67.83825	automatically added
YPR062W	CSND_c	YPR062W:1	17.64379	automatically added
YNR001C	CS_m	YNR001C:1	53.82265	automatically added
YCR005C	CS_x	YCR005C:1	51.84683	automatically added
YJR103W	CTPS2_c	YJR103W:1	65.04888	automatically added
YBL039C	CTPS2_c	YBL039C:1	65.25363	automatically added
YBR192W	CTPt2_m,CTPCMPt_c_m,UTPt_c_m,UTPUMPtp_m,CMPt_m_mm,CTPt_m_mm	YBR192W:1	42.47834	automatically added
YKL087C	CYCCL_m	YKL087C:1	26.28087	automatically added
YAL039C	CYCCL_m	YAL039C:1	30.32166	automatically added
YFR044C	CYSGLYP_c	YFR044C:1	53.3229	automatically added
YCR075C	CYSItps_v	YCR075C:1	30.36303	automatically added
YLR303W	CYSS_c,AHSERL_c,AHSERL2_c	YLR303W:1	49.08808	automatically added
YAL012W	CYSTGL_c,SHSL1_c	YAL012W:1	42.91061	automatically added
YNL247W	CYSTRS_c	YNL247W:1	88.27338	automatically added
YGR155W	CYSTS_c	YGR155W:1	56.50733	automatically added
YBR069C	CYStps_e,HIStps_e,ILEtps_e,LEUtps_e,THRtps_e,TRPtps_e,TYRtps_e,VALtps_e	YBR069C:1	69.35993	automatically added
YNR012W	CYTDK2_c,URIK1_c,URIK2_c	YNR012W:1	56.77966	automatically added
YLR245C	CYTD_c,DCYTD_c	YLR245C:1	15.65994	automatically added
YOR311C	DAGK_rm	YOR311C:1	33.11582	automatically added
YDR058C	DAGL_m	YDR058C:1	37.8128	automatically added
YDR487C	DB4PS_c	YDR487C:1	22.75044	automatically added
YNR057C	DBTS_c	YNR057C:1	26.46354	automatically added
YHR144C	DCMPDA_c,DCTPD_c	YHR144C:1	35.94276	automatically added
YBR249C	DDPA_c	YBR249C:1	40.09877	automatically added
YDR035W	DDPA_c	YDR035W:1	41.42157	automatically added
YOR245C	DGAT_rm,DGAT_l	YOR245C:1	48.13191	automatically added
YDR454C	DGK1_c,GK1_c,GK2_c	YDR454C:1	20.80616	automatically added
YJR016C	DHAD1_m,DHAD2_m	YJR016C:1	63.42966	automatically added
YFL053W	DHAK_c	YFL053W:1	62.69505	automatically added
YML070W	DHAK_c	YML070W:1	62.75704	automatically added
YKR067W	DHAPAT_rm,DHAPAT_l,G3PAT_rm,G3PAT_l	YKR067W:1	84.39832	automatically added
YBL011W	DHAPAT_rm,G3PAT_rm	YBL011W:1	86.43264	automatically added
YPL087W	DHCRD124_r,DHCRD126_r,DHCRD2A24_r,DHCRD2A26_r	YPL087W:1	37.52844	automatically added
YOR236W	DHFRi_c,DHFRi_m	YOR236W:1	24.45482	automatically added
YMR113W	DHFS_1_c	YMR113W:1	48.25568	automatically added
YKL216W	DHORDfum_c	YKL216W:1	35.09357	automatically added
YLR420W	DHORTS_c	YLR420W:1	40.65295	automatically added
YOL066C	DHPPDA2_c	YOL066C:1	67.59907	automatically added
YDR127W	DHQTi_c,DHQS_c,PSCIT_c,SHK3Di_c,SHKK_c	YDR127W:1	176.29736	automatically added
YLR172C	DIPS_c	YLR172C:1	34.11201	automatically added
YEL038WYMR009W	DKMPPD_c	YEL038W:1,YMR009W:1	46.422219999999996	automatically added
YJL167W	DMATT_c,GRTT_c	YJL167W:1	40.808	automatically added
YDL100C	DNMPPA_c	YDL100C:1	39.67227	automatically added
YMR013C	DOLK_c	YMR013C:1	59.41672	automatically added
YJR143C	DOLPMMT_r	YJR143C:1	88.70226	automatically added
YDL093WYOR321W	DOLPMMT_r	YDL093W:1,YOR321W:1	172.55379	automatically added
YDL095WYOR321W	DOLPMMT_r	YDL095W:1,YOR321W:1	180.51429000000002	automatically added
YAL023CYDL095W	DOLPMMT_r	YAL023C:1,YDL095W:1	181.07434999999998	automatically added
YPR183W	DOLPMT_c	YPR183W:1	30.61197	automatically added
YDR196C	DPCOAK_m	YDR196C:1	27.56658	automatically added
YKL152C	DPGM_c,PGM_c	YKL152C:1	27.84036	automatically added
YNR043W	DPMVD_c	YNR043W:1	44.48547	automatically added
YHR063C	DPR_c	YHR063C:1	43.17886	automatically added
YBR153W	DRAPPRy_c	YBR153W:1	27.33992	automatically added
YCR036W	DRBK_c,RBK_c	YCR036W:1	37.2276	automatically added
YJR057W	DTMPK_c	YJR057W:1	24.88109	automatically added
YBR252W	DUTPDP_c	YBR252W:1	15.43613	automatically added
YJR069C	DUTPDP_c,DNTPPY1_c,DNTPPY2_c,DNTPPY3_c	YJR069C:1	22.26674	automatically added
YHR068W	DXHPS_c	YHR068W:1	43.25185	automatically added
YBR026C	EAR40y_m,EAR60y_m,EAR80y_m	YBR026C:1	42.43544	automatically added
YLR284C	ECOAI101a_x,ECOAI122c_x,ECOAI121b_x,ECOAI121a_x,ECOAI142c_x,ECOAI141a_x	YLR284C:1	31.96312	automatically added
YOR180C	ECOAI5d_x,ECOAI6d_x	YOR180C:1	30.31463	automatically added
YNL202W	ECOAR122_x,ECOAR142_x	YNL202W:1	31.39068	automatically added
YDL015C	ECOAR200_rm,ECOAR220_rm,ECOAR240_rm,ECOAR260_rm	YDL015C:1	37.07445	automatically added
